tier,ATU_id,ATU_title,TMI_id,TMI_title,title_sim,doc_sim,shared
A,75*,The Wolf and the Nurse,B535.0.9,She-Wolf As Nurse For Child,0.810,0.484,2
A,815*,The Shoemaker who Made Shoes for the Devil,G303.3.1.18,Devil As Shoemaker,0.810,0.371,2
A,1851,Anecdotes about Devout Women,X438.1,All Devout Women In Hell,0.810,0.586,2
A,1832F*,Invitation to Dinner,J425.2,Buffalo Refuses Tiger's Invitation To Dinner,0.805,0.455,2
A,1187*,Unfinished Work,E606.2,Reincarnation To Complete Unfinished Work,0.800,0.430,2
A,3*,The Wolf Supplies Food for the Fox,D1472.1.27,Magic Well Supplies Food,0.798,0.352,2
A,1420,The Lover's Gift Regained,K1581.5,Lover's Gift Regained: Piece Of Cloth As Gift,0.796,0.458,3
A,1577,Blind Men Duped into Fighting,K1081.3,Blind Men Duped Into Fighting: Strings Leading To Water Removed,0.796,0.531,4
A,513,The Extraordinary Companions,F601.3,Extraordinary Companions Betray Hero,0.796,0.397,2
A,1693,The Literal Fool,J2469.5,Literal Fool -- Something You Have Never Experienced,0.796,0.446,2
A,1172,All Stones from the Stream or the Field,D1641.2.5,Stones Go Down To Stream To Drink,0.796,0.552,2
A,1525C,Fishing in the Street,J1149.2,Cheater Discovered By Fishing In The Street,0.791,0.473,2
A,1282,House Burned Down to Rid it of Insects,J2102.7,Crop Burned To Rid It Of Insects,0.788,0.662,3
A,1701,Echo Answers,D1611.15,Magic Echo Answers For Fugitive,0.785,0.502,2
A,885A,Woman Feigns Death,N343.3,Woman Feigns Death To Meet Exiled Lover,0.782,0.403,2
A,1785C,The Sexton's Wasp nest,J2102.5,Burning The Wasp Nest,0.781,0.441,2
A,1641D,The Sham Physician,K1955.6,The Sham Physician And The Devil In Partnership,0.780,0.354,2
A,1820,Bride and Groom at Wedding Ceremony,T135.14,Wedding-Canopy Over Bride And Groom,0.777,0.499,3
A,1321,Fools Frightened,J2614.2,Fools Frightened At The Flight Of A Quail,0.777,0.609,2
A,1892,The Trained Horse Rolls in the Field,X1241.2,Well-Trained Horse,0.776,0.454,2
A,1335*,Setting Sun (Rising Moon) Mistaken for Fire,A725,Man Controls Rising And Setting Of Sun,0.769,0.511,3
A,1278,Marking the Place on the Boat,J1922,Marking The Place,0.768,0.353,2
A,926A,The Clever Judge and the Demon in the Pot,P192.2,Fool As Clever Judge,0.762,0.355,2
A,1282,House Burned Down to Rid it of Insects,J2102.4.1,House Burned Down To Get Rid Of Lizard,0.760,0.593,3
A,122,Animal Loses his Prey because his Victim Can Escape by False Plea,K579,Escape By False Plea -- Miscellaneous,0.760,0.562,3
A,283,The Spider and the Fly,A2494.14.1,Enmity Between Spider And Fly,0.759,0.465,2
A,775,Midas' Short-sighted Wish,J2072.3,Short-Sighted Wish: All He Pulls On Will Follow,0.756,0.407,3
A,1282,House Burned Down to Rid it of Insects,J2103.3,House Burned Down To Get Rid Of Rats,0.748,0.646,3
A,1334*,The Old Moon and the Stars,J2271.2,What Becomes Of The Old Moon?,0.747,0.412,2
A,650C,The Youth who Bathed himself in the Blood of a Dragon,B11.2.13,Blood Of Dragon,0.746,0.574,2
